goos: darwin
goarch: arm64
pkg: github.com/fiorix/go-diameter/v4/bench
cpu: Apple M1 Max
BenchmarkDictParse1MSCC-10             	  572124	      2554 ns/op	    1793 B/op	      51 allocs/op
BenchmarkDictParse1MSCC-10             	  557551	      2197 ns/op	    1793 B/op	      51 allocs/op
BenchmarkDictParse1MSCC-10             	  580284	      2099 ns/op	    1793 B/op	      51 allocs/op
BenchmarkDictParse1MSCC-10             	  580407	      2058 ns/op	    1793 B/op	      51 allocs/op
BenchmarkDictParse1MSCC-10             	  585680	      2165 ns/op	    1793 B/op	      51 allocs/op
BenchmarkDictParse1MSCC-10             	  568288	      2086 ns/op	    1793 B/op	      51 allocs/op
BenchmarkDictParse1MSCC-10             	  574447	      2063 ns/op	    1793 B/op	      51 allocs/op
BenchmarkDictParse1MSCC-10             	  514536	      2472 ns/op	    1793 B/op	      51 allocs/op
BenchmarkDictParse1MSCC-10             	  607298	      2094 ns/op	    1793 B/op	      51 allocs/op
BenchmarkDictParse1MSCC-10             	  574632	      2145 ns/op	    1793 B/op	      51 allocs/op
BenchmarkDictParse3MSCC-10             	  386485	      3067 ns/op	    2649 B/op	      78 allocs/op
BenchmarkDictParse3MSCC-10             	  397737	      3056 ns/op	    2649 B/op	      78 allocs/op
BenchmarkDictParse3MSCC-10             	  392985	      3275 ns/op	    2649 B/op	      78 allocs/op
BenchmarkDictParse3MSCC-10             	  384415	      3555 ns/op	    2649 B/op	      78 allocs/op
BenchmarkDictParse3MSCC-10             	  395754	      3093 ns/op	    2649 B/op	      78 allocs/op
BenchmarkDictParse3MSCC-10             	  387024	      3124 ns/op	    2649 B/op	      78 allocs/op
BenchmarkDictParse3MSCC-10             	  383756	      3287 ns/op	    2649 B/op	      78 allocs/op
BenchmarkDictParse3MSCC-10             	  347000	      3736 ns/op	    2649 B/op	      78 allocs/op
BenchmarkDictParse3MSCC-10             	  376239	      3243 ns/op	    2649 B/op	      78 allocs/op
BenchmarkDictParse3MSCC-10             	  395547	      3090 ns/op	    2649 B/op	      78 allocs/op
BenchmarkDictParse5MSCC-10             	  278779	      4408 ns/op	    3674 B/op	     112 allocs/op
