goos: darwin
goarch: arm64
pkg: github.com/fiorix/go-diameter/v4/bench
cpu: Apple M1 Max
BenchmarkDictParse1MSCC-10               	  600360	      1996 ns/op	    1793 B/op	      51 allocs/op
BenchmarkDictParse1MSCC-10               	  593883	      2071 ns/op	    1793 B/op	      51 allocs/op
BenchmarkDictParse1MSCC-10               	  601689	      2030 ns/op	    1793 B/op	      51 allocs/op
BenchmarkDictParse1MSCC-10               	  610357	      2010 ns/op	    1793 B/op	      51 allocs/op
BenchmarkDictParse1MSCC-10               	  587534	      2007 ns/op	    1793 B/op	      51 allocs/op
BenchmarkDictParse1MSCC-10               	  605480	      1997 ns/op	    1793 B/op	      51 allocs/op
BenchmarkDictParse1MSCC-10               	  605029	      2007 ns/op	    1793 B/op	      51 allocs/op
BenchmarkDictParse1MSCC-10               	  603813	      2011 ns/op	    1793 B/op	      51 allocs/op
BenchmarkDictParse1MSCC-10               	  602468	      2006 ns/op	    1793 B/op	      51 allocs/op
BenchmarkDictParse1MSCC-10               	  599698	      2008 ns/op	    1793 B/op	      51 allocs/op
BenchmarkDictParse3MSCC-10               	  402248	      2976 ns/op	    2649 B/op	      78 allocs/op
BenchmarkDictParse3MSCC-10               	  405324	      2988 ns/op	    2649 B/op	      78 allocs/op
BenchmarkDictParse3MSCC-10               	  398508	      3003 ns/op	    2649 B/op	      78 allocs/op
BenchmarkDictParse3MSCC-10               	  396780	      3014 ns/op	    2649 B/op	      78 allocs/op
BenchmarkDictParse3MSCC-10               	  396421	      3125 ns/op	    2649 B/op	      78 allocs/op
BenchmarkDictParse3MSCC-10               	  406482	      3097 ns/op	    2649 B/op	      78 allocs/op
BenchmarkDictParse3MSCC-10               	  397183	      2991 ns/op	    2649 B/op	      78 allocs/op
BenchmarkDictParse3MSCC-10               	  403381	      2992 ns/op	    2649 B/op	      78 allocs/op
BenchmarkDictParse3MSCC-10               	  399440	      2988 ns/op	    2649 B/op	      78 allocs/op
BenchmarkDictParse3MSCC-10               	  400360	      3020 ns/op	    2649 B/op	      78 allocs/op
BenchmarkDictParse5MSCC-10               	  284301	      4210 ns/op	    3674 B/op	     112 allocs/op
BenchmarkDictParse5MSCC-10               	  287566	      4178 ns/op	    3674 B/op	     112 allocs/op
BenchmarkDictParse5MSCC-10               	  290522	      4159 ns/op	    3674 B/op	     112 allocs/op
BenchmarkDictParse5MSCC-10               	  288765	      4146 ns/op	    3674 B/op	     112 allocs/op
BenchmarkDictParse5MSCC-10               	  285261	      4157 ns/op	    3674 B/op	     112 allocs/op
BenchmarkDictParse5MSCC-10               	  289786	      4148 ns/op	    3674 B/op	     112 allocs/op
BenchmarkDictParse5MSCC-10               	  291364	      4280 ns/op	    3674 B/op	     112 allocs/op
BenchmarkDictParse5MSCC-10               	  251208	      4169 ns/op	    3674 B/op	     112 allocs/op
BenchmarkDictParse5MSCC-10               	  288243	      4156 ns/op	    3674 B/op	     112 allocs/op
BenchmarkDictParse5MSCC-10               	  288987	      4140 ns/op	    3674 B/op	     112 allocs/op
BenchmarkDictParseTriggerTTC-10          	  492820	      2432 ns/op	    2153 B/op	      61 allocs/op
BenchmarkDictParseTriggerTTC-10          	  497743	      2431 ns/op	    2153 B/op	      61 allocs/op
BenchmarkDictParseTriggerTTC-10          	  479458	      2472 ns/op	    2153 B/op	      61 allocs/op
BenchmarkDictParseTriggerTTC-10          	  494498	      2420 ns/op	    2153 B/op	      61 allocs/op
